black_name,black_reason,disposal_date,topic_tag
吃荔枝会上火,网络谣言（虚假信息）,2025-06-09,食品安全/饮食
2026年起社保缴费年限延长,网络谣言（虚假信息）,2025-06-09,社保/医保
喝纯净水会缺钙,网络谣言（虚假信息）,2025-06-09,食品安全/饮食
吃芒果会过敏,网络谣言（虚假信息）,2025-05-09,食品安全/饮食
喝红酒能助眠,网络谣言（虚假信息）,2025-05-09,食品安全/饮食
2026年起医保报销范围扩大,网络谣言（虚假信息）,2025-05-09,社保/医保
喝牛奶能长高,网络谣言（虚假信息）,2025-05-09,食品安全/饮食
2025年青年节活动取消,网络谣言（虚假信息）,2025-05-09,其他
2025年劳动节高速免费调整,网络谣言（虚假信息）,2025-05-09,交通/车辆政策
2026年起私家车年检简化,网络谣言（虚假信息）,2025-05-09,交通/车辆政策
吃草莓会中毒,网络谣言（虚假信息）,2025-05-09,食品安全/饮食
2025年五一假期延长,网络谣言（虚假信息）,2025-05-09,旅游/节假日
手机壳会影响散热,网络谣言（虚假信息）,2025-05-09,其他
2025年愚人节谣言合集,网络谣言（虚假信息）,2025-04-11,一般性谣言
喝咖啡会致癌,网络谣言（虚假信息）,2025-04-11,食品安全/饮食
2026年起社保转移简化,网络谣言（虚假信息）,2025-04-11,社保/医保
吃菠萝会伤口腔,网络谣言（虚假信息）,2025-04-11,食品安全/饮食
喝菊花茶能明目,网络谣言（虚假信息）,2025-04-11,食品安全/饮食
2026年起电动车禁入电梯,网络谣言（虚假信息）,2025-04-11,交通/车辆政策
手机电量满了会爆炸,网络谣言（虚假信息）,2025-04-11,公共安全
2025年春季征兵政策调整,网络谣言（虚假信息）,2025-04-11,其他
吃青团会发胖,网络谣言（虚假信息）,2025-04-11,食品安全/饮食
2025年清明节放假调整,网络谣言（虚假信息）,2025-04-11,其他
喝枸杞水能养生,网络谣言（虚假信息）,2025-03-13,食品安全/饮食
喝白开水能减肥,网络谣言（虚假信息）,2025-03-13,食品安全/饮食
2026年起医保个人账户划入减少,网络谣言（虚假信息）,2025-03-13,社保/医保
吃橙子能补充维C,网络谣言（虚假信息）,2025-03-13,食品安全/饮食
2025年学雷锋活动取消,网络谣言（虚假信息）,2025-03-13,其他
手机辐射会导致不孕,网络谣言（虚假信息）,2025-03-13,其他
2026年起驾照自学直考,网络谣言（虚假信息）,2025-03-13,交通/车辆政策
2025年春季开学时间调整,网络谣言（虚假信息）,2025-03-13,教育/招生
吃韭菜能壮阳,网络谣言（虚假信息）,2025-03-13,食品安全/饮食
2025年三八节放假调整,网络谣言（虚假信息）,2025-03-13,其他
2025年春节快递停运,网络谣言（虚假信息）,2025-02-11,物流/快递
2025年春晚节目单泄露,网络谣言（虚假信息）,2025-02-11,其他
2025年春节高速免费调整,网络谣言（虚假信息）,2025-02-11,交通/车辆政策
手机放在床头会辐射,网络谣言（虚假信息）,2025-02-11,其他
2025年春节景区关闭,网络谣言（虚假信息）,2025-02-11,旅游/节假日
吃饺子能招财,网络谣言（虚假信息）,2025-02-11,食品安全/饮食
2025年拜年短信诈骗,网络谣言（虚假信息）,2025-02-11,其他
喝白酒能御寒,网络谣言（虚假信息）,2025-02-11,食品安全/饮食
2025年春节烟花禁放,网络谣言（虚假信息）,2025-02-11,旅游/节假日
吃糖果能开心,网络谣言（虚假信息）,2025-02-11,食品安全/饮食
